"nr","country","year","fertility","urbanpop","energyuse","fossile","ggemission","arableland","womenedu","livestock","fertilizers","gdp","name","pop"
"107","KOR","2020",0.837,81.414,,,,1352000,,107.22,362.484430473373,33040,"Korea, Rep.",51836239
"108","KWT","2020",2.14,100,,,,8000,,116.62,1123.31125,,"Kuwait",4360444
"109","LAO","2020",2.541,36.29,,,,1224000,,131.93,,2470,"Lao PDR",7319399
"110","LBN","2020",2.103,88.925,,,,135300,,105.2,248.775092387288,6400,"Lebanon",5662923
"111","LBR","2020",4.174,52.089,,,,500000,,114.84,,600,"Liberia",5087584
"112","LBY","2020",2.507,80.691,,,,1720000,,112.85,14.8514127906977,7890,"Libya",6653942
"113","LCA","2020",1.411,18.841,,,,2670,,100.84,239.779026217228,8590,"St. Lucia",179237
"114","LIE","2020",1.46,14.416,,,,1410,,,,,"Liechtenstein",38756
"115","LKA","2020",2,18.713,,,,1372000,0.658209979534149,125.51,297.77443877551,3930,"Sri Lanka",21919000
"116","LSO","2020",3.049,29.028,,,,596000,,93.95,,1150,"Lesotho",2254100
"117","LTU","2020",1.48,68.046,,,,2249400,16.0712699890137,92.29,140.003472036988,19680,"Lithuania",2794885
"118","LUX","2020",1.37,91.453,,,,62130,,120.43,238.623209399646,79580,"Luxembourg",630419
"119","LVA","2020",1.55,68.315,,,,1334000,,101.91,113.426536731634,18240,"Latvia",1900449
"120","MAC","2020",1.072,100,,,,,,85.37,,44690,"Macao SAR, China",676283
"121","MAF","2020",2.448,,,,,,,,,,"St. Martin (French part)",32553
"122","MAR","2020",2.353,63.532,,,,7649000,,117.55,58.1934135181069,3250,"Morocco",36688772
"123","MCO","2020",,100,,,,,,,,,"Monaco",36922
"124","MDA","2020",1.77,42.849,,,,1699800,,89.25,48.7510883633369,4490,"Moldova",2635130
"125","MDG","2020",3.918,38.534,,,,3000000,,94.66,10.58036,460,"Madagascar",28225177
"126","MDV","2020",1.712,40.669,,,,3900,,101.67,71.7282051282051,6780,"Maldives",514438
"127","MEX","2020",1.905,80.731,,,,20071000,2.25692009925842,114.92,106.604759105177,8750,"Mexico",125998302
"128","MHL","2020",,77.794,,,,2000,,,,6690,"Marshall Islands",43413
"129","MKD","2020",1.3,58.482,,,,416000,1.9641900062561,99.32,82.8144951923077,5730,"North Macedonia",2072531
"130","MLI","2020",6.035,43.909,,,,6411000,0.437599986791611,131.71,37.236802370925,790,"Mali",21224040
"131","MLT","2020",1.13,94.744,,,,9070,9.35986042022705,89.76,126.637265711136,26440,"Malta",515332
"132","MMR","2020",2.174,31.141,,,,11018000,,117.53,59.3044654202215,1370,"Myanmar",53423198
"133","MNE","2020",1.75,67.488,,,,9100,,109.68,306.867032967033,7900,"Montenegro",621306
