"name","year","elecons","allowances","crimes","urban","wages","nonworking","pop","detect"
"Powiat radomszczański","2022",729.9,6204,1727,45.78,79.5,0,107575,73.5
"Powiat tomaszowski","2022",781.6,10810,2370,52.13,81.7,0,111439,66.7
"Powiat m. Piotrków Trybunalski","2022",715.3,16385,1826,100,81.5,0,67264,63.9
"Powiat łaski","2022",899.2,3798,736,33.05,78.2,0,48992,65
"Powiat pajęczański","2022",674.4,1126,483,23.93,81.5,0,49064,72.8
"Powiat poddębicki","2022",913.2,1047,493,24.74,110,0,39621,64.3
"Powiat sieradzki","2022",875.1,4629,1872,42.34,83.9,0,112350,66.6
"Powiat wieluński","2022",736.3,3583,1255,28.47,82,0,73140,66.4
"Powiat wieruszowski","2022",729.6,1200,771,25.52,75.7,0,41583,71.3
"Powiat zduńskowolski","2022",755.6,5198,1088,63.72,83.6,0,63742,78.8
"Powiat kutnowski","2022",718.8,15470,1860,57.8,86.5,0,91563,62.1
"Powiat łęczycki","2022",896,1902,736,31.39,89.9,0,47002,68.7
"Powiat łowicki","2022",908,4170,1832,35.18,80.5,0,74606,63.1
"Powiat rawski","2022",883.2,2234,603,41.23,82.8,0,46415,78
"Powiat skierniewicki","2022",826.5,14,433,2.38,80.7,0,37799,54.4
"Powiat m. Skierniewice","2022",729.9,3845,1022,100,86.5,0,45560,66.7
"Powiat kielecki","2022",641.6,910,3027,8.79,78.9,0,211774,68.9
"Powiat konecki","2022",598.5,2143,1498,34.43,81.9,0,74558,66.3
"Powiat ostrowiecki","2022",565.5,4519,1730,67.66,80.4,0,101311,68.7
"Powiat skarżyski","2022",634.3,6392,1956,71.48,85.1,0,69087,69.8
"Powiat starachowicki","2022",575.6,8091,1715,56.2,85.5,0,84514,74.3
"Powiat m. Kielce","2022",707.5,13236,5899,100,92.2,0,183885,61.2
"Powiat buski","2022",631.8,1711,1086,26.52,80.7,0,68470,75.3
"Powiat jędrzejowski","2022",684,2221,985,30.4,86.9,0,81786,66.6
"Powiat kazimierski","2022",748.9,239,528,20.51,76,0,31966,87.3
"Powiat opatowski","2022",618.8,1085,849,23.45,76.2,0,48894,80.9
"Powiat pińczowski","2022",643.7,2001,756,28.9,86.7,0,37011,69
"Powiat sandomierski","2022",601.2,2601,1177,37.62,88.8,0,72616,77.3
"Powiat staszowski","2022",580,1455,1624,37.59,87.3,0,69001,70.7
"Powiat włoszczowski","2022",673.7,638,536,22.21,89.2,0,43291,66.4
"Powiat bialski","2022",687,3484,1639,19.63,78.9,0,105530,81.1
